:name:label:description:color_1:color_2:color_3:color_4
0:Chihuahua:Chihuahua:dog breed:[132, 112, 85]:[13, 22, 14]:[217, 173, 133]:[67, 74, 52]
0:Great Dane:Great Dane:dog breed:[222, 211, 190]:[59, 51, 37]:[175, 152, 111]:[218, 32, 5]
0:American Bully:American Bully:dog breed:[185, 154, 142]:[47, 38, 58]:[231, 212, 206]:[108, 95, 107]
0:Affenpinscher:Affenpinscher:dog breed:[116, 154, 94]:[25, 28, 25]:[164, 212, 128]:[70, 88, 64]
0:Austrian Black and Tan Hound:Austrian Black and Tan Hound:dog breed:[97, 96, 90]:[191, 193, 199]:[147, 147, 140]:[48, 47, 49]
0:Dalmatian:Dalmatian:dog breed:[190, 169, 154]:[31, 17, 25]:[223, 213, 217]:[123, 95, 92]
0:Maremma Sheepdog:Maremma Sheepdog:dog breed:[106, 116, 122]:[194, 206, 219]:[64, 77, 81]:[140, 150, 164]
0:Afghan Hound:Afghan Hound:dog breed:[52, 59, 64]:[153, 169, 131]:[105, 111, 104]:[193, 196, 201]
0:Cane Corso:Cane Corso:dog breed:[169, 174, 95]:[105, 100, 64]:[230, 207, 187]:[32, 30, 26]
0:Alaskan Husky:Alaskan Husky:dog crossbreed:[101, 109, 71]:[209, 209, 207]:[137, 142, 110]:[66, 67, 47]
0:Alaskan Malamute:Alaskan Malamute:dog breed:[223, 232, 233]:[124, 99, 79]:[50, 29, 43]:[184, 168, 150]
0:Chow Chow:Chow Chow:Chinese dog breed:[197, 123, 59]:[26, 16, 19]:[201, 176, 162]:[127, 81, 56]
0:English Springer Spaniel:English Springer Spaniel:dog breed:[106, 94, 66]:[162, 144, 116]:[61, 44, 31]:[208, 198, 191]
0:Combai:Combai:dog breed:[110, 107, 98]:[158, 175, 177]:[69, 60, 49]:[139, 146, 142]
0:Catalan Sheepdog:Catalan Sheepdog:Catalan Sheepdog:[150, 176, 97]:[46, 38, 35]:[207, 223, 227]:[103, 125, 49]
0:Cardigan Welsh Corgi:Cardigan Welsh Corgi:dog breed:[24, 29, 20]:[140, 137, 108]:[218, 222, 215]:[85, 91, 62]
0:Chesapeake Bay Retriever:Chesapeake Bay Retriever:dog breed:[204, 190, 167]:[58, 62, 43]:[157, 145, 120]:[110, 105, 84]
